rss,rss_dbm
4.7765214e-10,-63.208885
5.182254e-10,-62.854813
5.229593e-10,-62.815323
5.3984617e-10,-62.6773
5.3757965e-10,-62.69557
5.0297055e-10,-62.984573
4.8693166e-10,-63.12532
4.6607296e-10,-63.31546
4.3903775e-10,-63.57498
4.2997272e-10,-63.66559
4.1779954e-10,-63.79032
4.1489337e-10,-63.82064
4.1438025e-10,-63.826004
4.1012846e-10,-63.870804
4.1043943e-10,-63.867508
4.1024661e-10,-63.869553
4.105578e-10,-63.866257
4.128196e-10,-63.8424
4.147897e-10,-63.821716
5.509082e-10,-62.589203
5.6172156e-10,-62.50479
5.3310106e-10,-62.731903
5.2436394e-10,-62.803665
5.0100246e-10,-63.001602
4.7015153e-10,-63.277626
4.3197915e-10,-63.64537
4.105128e-10,-63.86673
4.1510648e-10,-63.818405
4.1594078e-10,-63.809677
4.1878528e-10,-63.78009
4.2306236e-10,-63.735954
4.292006e-10,-63.6734
4.3098702e-10,-63.655357
4.3188517e-10,-63.646317
4.3885828e-10,-63.57675
5.0452237e-10,-62.97119
4.932782e-10,-63.069077
4.778421e-10,-63.20716
4.2710416e-10,-63.694656
4.2127582e-10,-63.75434
4.1936724e-10,-63.774048
4.102017e-10,-63.870026
4.0851036e-10,-63.88797
4.088189e-10,-63.88469
4.103661e-10,-63.868286
4.1262585e-10,-63.844437
4.1625942e-10,-63.806366
4.416655e-10,-63.549057
4.4798854e-10,-63.487328
4.5449552e-10,-63.424698
4.6493973e-10,-63.326035
5.523788e-10,-62.57763
5.688472e-10,-62.450043
5.0974686e-10,-62.926453
4.725497e-10,-63.25553
4.6502555e-10,-63.325233
4.453717e-10,-63.51277
4.1799825e-10,-63.788254
4.127285e-10,-63.843353
4.0820222e-10,-63.89125
4.084378e-10,-63.88874
4.101733e-10,-63.870323
4.1211823e-10,-63.849785
4.191084e-10,-63.77674
4.199589e-10,-63.76793
4.2426004e-10,-63.72368
4.4451015e-10,-63.521187
4.719521e-10,-63.261024
5.0132454e-10,-62.99881
5.879093e-10,-62.3069
5.852221e-10,-62.326797
5.7470984e-10,-62.40551
5.4071764e-10,-62.670296
5.0372684e-10,-62.97805
4.708123e-10,-63.271523
4.616721e-10,-63.356667
4.3163464e-10,-63.648834
4.296328e-10,-63.66902
4.2622447e-10,-63.703613
4.2427228e-10,-63.723557
4.1612058e-10,-63.807816
4.1374668e-10,-63.832657
4.0839324e-10,-63.88922
4.07896e-10,-63.89451
4.079405e-10,-63.894035
4.0824802e-10,-63.890762
4.0936324e-10,-63.878906
4.1408027e-10,-63.829155
4.3043338e-10,-63.660934
4.331334e-10,-63.63379
4.820999e-10,-63.168633
