iso,dipole,hw_dipole,tr38901
-63.737732,-62.637695,-62.530045,-85.73773
-63.728867,-62.62787,-62.519836,-85.72887
-63.713158,-62.605812,-62.495193,-85.71316
-63.652412,-62.52591,-62.407516,-85.652405
-63.634293,-62.50329,-62.38307,-85.63429
-63.48648,-62.310875,-62.17238,-85.48649
-63.467644,-62.28546,-62.14425,-85.46765
-63.25634,-62.01664,-61.851562,-85.25634
-62.91291,-61.594055,-61.395645,-84.91291
-62.680664,-61.314102,-61.095337,-84.680664
-62.60611,-61.224632,-60.999435,-84.6061
-62.865982,-61.53457,-61.330803,-84.86598
-63.29818,-62.068977,-61.90827,-85.29819
-63.367218,-62.154373,-62.000473,-85.36721
-63.40428,-62.202187,-62.05275,-85.40428
-63.55516,-62.396713,-62.26526,-85.555176
-63.575813,-62.423813,-62.295006,-85.575806
-63.596344,-62.450493,-62.32421,-85.596344
-63.66295,-62.53711,-62.418976,-85.66296
-63.668526,-62.545845,-62.429,-85.668526
-63.749176,-62.65126,-62.54447,-85.749176
-63.754646,-62.657463,-62.550964,-85.75464
-63.75128,-62.654503,-62.548187,-85.751274
-63.753357,-62.65644,-62.550064,-85.75336
-63.74997,-62.652176,-62.545456,-85.74998
-63.730957,-62.626328,-62.516815,-85.730965
-63.72207,-62.616104,-62.506058,-85.72206
-63.709747,-62.599014,-62.48703,-85.70975
-63.612595,-62.470848,-62.34623,-85.612595
-63.603455,-62.45909,-62.333405,-85.60347
-63.548233,-62.386864,-62.25421,-85.54823
-63.366272,-62.15384,-62.000107,-85.36627
-63.000336,-61.699257,-61.50837,-85.000336
-62.883484,-61.555084,-61.352608,-84.883484
-63.32982,-62.105896,-61.947388,-85.32983
-63.54946,-62.38643,-62.253082,-85.54946
-63.611145,-62.46721,-62.341698,-85.61115
-63.65178,-62.51909,-62.39818,-85.65178
-63.65737,-62.528183,-62.40869,-85.657364
-63.70865,-62.594536,-62.481186,-85.70865
-63.71965,-62.610382,-62.499,-85.71965
-63.736145,-62.63276,-62.523766,-85.736145
-63.75802,-62.65992,-62.553062,-85.75802
-63.765556,-62.669266,-62.56314,-85.76555
-63.762177,-62.665695,-62.559494,-85.76218
-63.755432,-62.65708,-62.550117,-85.75543
-63.727562,-62.619904,-62.50917,-85.727554
-63.718674,-62.609512,-62.49816,-85.71867
-63.706345,-62.59175,-62.47821,-85.706345
-63.667023,-62.539734,-62.42102,-85.66702
-63.64895,-62.51709,-62.396515,-85.64895
-63.520348,-62.349716,-62.213272,-85.52034
-63.292038,-62.05835,-61.895782,-85.29204
-63.133385,-61.860504,-61.68152,-85.13338
-62.989822,-61.684303,-61.491547,-84.98982
-62.669327,-61.298126,-61.077347,-84.66933
-62.490196,-61.086777,-60.85211,-84.490204
-62.734535,-61.374573,-61.158607,-84.734535
-62.952805,-61.63643,-61.439064,-84.952805
-63.292114,-62.056763,-61.893494,-85.292114
-63.54373,-62.375954,-62.24067,-85.54374
-63.564415,-62.403496,-62.271027,-85.564415
-63.64618,-62.509827,-62.387405,-85.646194
-63.703117,-62.586327,-62.471878,-85.703125
-63.74501,-62.640915,-62.53163,-85.74501
-63.755936,-62.655075,-62.54711,-85.75593
-63.763474,-62.66623,-62.559708,-85.76347
-63.40107,-62.19429,-62.042915,-85.40108
-63.327454,-62.099724,-61.939636,-85.32745
-63.12317,-61.84601,-61.66523,-85.12318
-62.574905,-61.185265,-60.95656,-84.5749
-62.391747,-60.969864,-60.727203,-84.391754
-62.34778,-60.91903,-60.67337,-84.34777
-62.289825,-60.851738,-60.60202,-84.289825
-62.329704,-60.897743,-60.650696,-84.3297
-62.408356,-60.988686,-60.74698,-84.40835
-62.78843,-61.437637,-61.2256,-84.78843
-63.32379,-62.093796,-61.932762,-85.3238
-63.666397,-62.53543,-62.415207,-85.6664
-63.712044,-62.593857,-62.47885,-85.71204
-63.71756,-62.602165,-62.488297,-85.71755
-63.742905,-62.633827,-62.522514,-85.742905
-63.748383,-62.641495,-62.531082,-85.748375
-63.753845,-62.64897,-62.539368,-85.753845
-63.770203,-62.67025,-62.562645,-85.770195
-63.769714,-62.671463,-62.564545,-85.769714
-63.76297,-62.660637,-62.55207,-85.76297
-63.75415,-62.650597,-62.54152,-85.75416
-63.71186,-62.59487,-62.480354,-85.71186
-63.645493,-62.50786,-62.38492,-85.64551
-63.57242,-62.412758,-62.280807,-85.57242
-63.526108,-62.350838,-62.212463,-85.52611
-63.01732,-61.713974,-61.52214,-85.01732
-62.54268,-61.14457,-60.91221,-84.54268
-62.59899,-61.210136,-60.981766,-84.59899
-62.617607,-61.231842,-61.0048,-84.61761
-63.004074,-61.69664,-61.503075,-85.004074
-63.6754,-62.542572,-62.4216,-85.6754
-63.73195,-62.617943,-62.504623,-85.73195
-63.781067,-62.68348,-62.576828,-85.78107
-63.7865,-62.689804,-62.583504,-85.7865
