rss,rss_dbm
2.577526e-12,-85.88797
2.5794729e-12,-85.88469
2.589235e-12,-85.868286
2.6034927e-12,-85.84444
2.6264195e-12,-85.80636
2.7867205e-12,-85.54907
2.8266168e-12,-85.48733
2.8676727e-12,-85.4247
2.9335711e-12,-85.326035
3.4852744e-12,-84.57763
3.5891834e-12,-84.45004
3.2162853e-12,-84.92645
2.9815865e-12,-85.25552
2.9341126e-12,-85.32523
2.8101052e-12,-85.51277
2.6373905e-12,-85.78826
2.6041404e-12,-85.84335
2.5755821e-12,-85.89125
2.577068e-12,-85.88874
2.5880188e-12,-85.87032
2.6002902e-12,-85.84978
2.6443947e-12,-85.77674
2.6497617e-12,-85.76793
2.6768995e-12,-85.72368
2.8046693e-12,-85.52118
2.9778161e-12,-85.26102
3.163144e-12,-84.99881
3.709457e-12,-84.3069
3.6925016e-12,-84.32679
3.626174e-12,-84.40552
3.4116974e-12,-84.670296
3.1783016e-12,-84.97804
2.9706246e-12,-85.27152
2.912954e-12,-85.35667
2.7234306e-12,-85.648834
2.7108e-12,-85.66902
2.6892945e-12,-85.70362
2.6769771e-12,-85.72356
2.6255432e-12,-85.80781
2.6105652e-12,-85.83266
2.5767867e-12,-85.88921
2.5736496e-12,-85.89451
2.5739307e-12,-85.89403
2.575871e-12,-85.89076
2.5829074e-12,-85.878914
2.6126696e-12,-85.829155
2.715851e-12,-85.66094
2.7328866e-12,-85.63378
3.041845e-12,-85.168625
3.2647303e-12,-84.86153
3.6352984e-12,-84.3946
3.0192869e-12,-85.20096
2.9489267e-12,-85.30336
2.881761e-12,-85.40343
2.7584445e-12,-85.59335
2.7142808e-12,-85.66345
2.69272e-12,-85.69809
2.61703e-12,-85.821915
2.5657556e-12,-85.90785
2.5707997e-12,-85.899315
2.5778078e-12,-85.8875
2.5919395e-12,-85.863754
2.6251766e-12,-85.80841
2.6410987e-12,-85.78216
2.6572071e-12,-85.75575
2.6900296e-12,-85.70243
2.6955836e-12,-85.693474
2.7386199e-12,-85.62469
2.89307e-12,-85.38641
2.9601545e-12,-85.28686
3.0489485e-12,-85.1585
3.0821623e-12,-85.11145
3.7099893e-12,-84.306274
