path_id,delay_s,distance_m,real_coeff,imag_coeff,magnitude,phase_rad,channel_gain_db,rss_power_w,rss_power_dbm
110,7.8496004e-07,235.488,-8.006992e-07,0.0,8.006992e-07,3.1415927,-121.93061,6.411211012492639e-15,-111.93061065673828
111,5.195919e-07,155.87756,-6.697024e-10,0.0,6.697024e-10,3.1415927,-183.48236,4.485015286527997e-21,-173.48236083984375
112,5.204476e-07,156.13428,3.2170457e-09,0.0,3.2170457e-09,0.0,-169.85086,1.0349361353071557e-19,-159.85086059570312
113,5.5433156e-07,166.29947,-8.588436e-09,0.0,8.588436e-09,3.1415927,-161.32172,7.376126686451733e-19,-151.32171630859375
114,6.221116e-07,186.63348,-1.6938956e-10,0.0,1.6938956e-10,3.1415927,-195.42227,2.869281740051356e-22,-185.42227172851562
115,5.1968823e-07,155.90646,-8.467739e-08,0.0,8.467739e-08,3.1415927,-141.44466,7.170238454137079e-17,-131.4446563720703
116,5.4431797e-07,163.2954,-2.9648606e-10,0.0,2.9648606e-10,3.1415927,-190.55992,8.790384351960845e-22,-180.55992126464844
117,1.094695e-06,328.4085,-4.253161e-08,0.0,4.253161e-08,3.1415927,-147.42577,1.8089367970460847e-17,-137.42576599121094
118,5.452456e-07,163.57368,-7.4446116e-11,0.0,7.4446116e-11,3.1415927,-202.56316,5.5422331664065e-23,-192.5631561279297
119,4.6280684e-07,138.84206,-1.5240254e-10,0.0,1.5240254e-10,3.1415927,-196.34016,2.3226511149601497e-22,-186.3401641845703
120,4.7822e-07,143.466,-1.4441768e-08,0.0,1.4441768e-08,3.1415927,-156.80759,2.085645958660844e-18,-146.80758666992188
121,4.483859e-07,134.51576,1.5822455e-07,0.0,1.5822455e-07,0.0,-136.01453,2.5034974610475065e-16,-126.0145263671875
122,8.898157e-07,266.9447,3.6587036e-09,0.0,3.6587036e-09,0.0,-168.73346,1.338608807706548e-19,-158.73345947265625
123,1.1458177e-06,343.7453,1.8092878e-08,0.0,1.8092878e-08,0.0,-154.84984,3.2735317054122672e-18,-144.84983825683594
124,8.681923e-07,260.45767,3.7002625e-09,0.0,3.7002625e-09,0.0,-168.63535,1.369194327843579e-19,-158.63534545898438
125,4.4731703e-07,134.19511,-8.935338e-07,0.0,8.935338e-07,3.1415927,-120.97778,7.984020752469997e-15,-110.977783203125
126,5.2585415e-07,157.75624,-4.5411785e-09,0.0,4.5411785e-09,3.1415927,-166.85663,2.062228475519468e-19,-156.85662841796875
127,3.8100313e-07,114.30094,-5.725713e-06,0.0,5.725713e-06,3.1415927,-104.84341,3.2783801715008387e-13,-94.8434066772461
128,9.2596366e-07,277.7891,-3.8779636e-08,0.0,3.8779636e-08,3.1415927,-148.22794,1.5038552163436644e-17,-138.22793579101562
129,5.247237e-07,157.41711,-1.8648299e-08,0.0,1.8648299e-08,3.1415927,-154.58722,3.477593853806649e-18,-144.58721923828125
130,5.914111e-07,177.42332,-2.571606e-10,0.0,2.571606e-10,3.1415927,-191.7959,6.613171167584096e-22,-181.7958984375
131,7.315651e-07,219.46953,-2.3576473e-07,0.0,2.3576473e-07,3.1415927,-132.55042,5.558516073502417e-16,-122.5504150390625
132,5.802532e-07,174.07596,4.13816e-09,0.0,4.13816e-09,0.0,-167.66386,1.7124344739861063e-19,-157.6638641357422
133,5.44131e-07,163.2393,-2.3632915e-10,0.0,2.3632915e-10,3.1415927,-192.52966,5.585140257674557e-22,-182.5296630859375
134,5.2844666e-07,158.534,-6.656231e-09,0.0,6.656231e-09,3.1415927,-163.53543,4.430550483823238e-19,-153.53543090820312
135,4.821508e-07,144.64525,-2.8247644e-08,0.0,2.8247644e-08,3.1415927,-150.98036,7.979288591151924e-18,-140.98036193847656
136,6.014379e-07,180.43137,2.5677593e-08,0.0,2.5677593e-08,0.0,-151.80891,6.593392969753017e-18,-141.8089141845703
137,5.1279557e-07,153.83867,-1.7073384e-08,0.0,1.7073384e-08,3.1415927,-155.3536,2.915007432898868e-18,-145.35360717773438
138,5.1773515e-07,155.32054,4.3284186e-07,0.0,4.3284186e-07,0.0,-127.273415,1.8735242239445275e-15,-117.2734146118164
139,5.7910273e-07,173.73082,2.0054877e-07,0.0,2.0054877e-07,0.0,-133.9556,4.0219871898756836e-16,-123.95559692382812
140,5.4056966e-07,162.1709,-6.2756236e-08,0.0,6.2756236e-08,3.1415927,-144.04686,3.938347517069099e-17,-134.04685974121094
141,4.7173177e-07,141.51953,-8.6589186e-10,0.0,8.6589186e-10,3.1415927,-181.25073,7.497691087977086e-21,-171.250732421875
142,4.825914e-07,144.77742,-2.2021839e-08,0.0,2.2021839e-08,3.1415927,-153.14293,4.849613106839673e-18,-143.14292907714844
143,8.4475914e-07,253.42775,-3.3216912e-07,0.0,3.3216912e-07,3.1415927,-129.57281,1.1033641753347648e-15,-119.57281494140625
144,4.3421636e-07,130.26491,-1.3385829e-06,0.0,1.3385829e-06,3.1415927,-117.4671,1.791802654600022e-14,-107.46710205078125
145,4.7045688e-07,141.13707,1.5151927e-07,0.0,1.5151927e-07,0.0,-136.39064,2.2958110704300605e-16,-126.39064025878906
146,4.799634e-07,143.98901,2.2524855e-08,0.0,2.2524855e-08,0.0,-152.94676,5.073693026057838e-18,-142.94676208496094
147,4.2676706e-07,128.03012,-1.4394271e-05,0.0,1.4394271e-05,3.1415927,-96.836205,2.071951334461919e-12,-86.8362045288086
148,4.2797598e-07,128.39279,-1.2251661e-07,0.0,1.2251661e-07,3.1415927,-138.2361,1.501031056296286e-16,-128.23609924316406
