path_id,delay_s,delay_ns,distance_m,real_coeff,imag_coeff,magnitude,phase_rad,phase_deg,channel_path_gain,channel_path_gain_db
1201,1.0989616612278041e-06,1098.961669921875,329.6885070800781,-1.6114873879757852e-09,-4.591987234903172e-09,4.866542724357714e-09,-1.9083034992218018,-109.33773040771484,2.3683238074216025e-17,-166.25558471679688
1202,1.0989616612278041e-06,1098.961669921875,329.6885070800781,-1.6115205836442215e-09,-4.592005886649986e-09,4.8665711460671446e-09,-1.9083086252212524,-109.33802795410156,2.3683514352540618e-17,-166.25552368164062
1203,1.053978508025466e-06,1053.978515625,316.19354248046875,-2.3765802659170276e-09,-8.163624443113804e-09,8.502522241826682e-09,-1.854084849357605,-106.23123168945312,7.229288561961525e-17,-161.4090576171875
1204,5.21643528372806e-07,521.6435546875,156.49305725097656,-6.270971297794858e-09,6.492497206522785e-09,9.026494218744574e-09,2.3388400077819824,134.0056610107422,8.147759473893865e-17,-160.88961791992188
1205,5.214710654399823e-07,521.4710693359375,156.44131469726562,-7.588588646356698e-10,1.4752952193219926e-09,1.6590246953995802e-09,2.04587984085083,117.22027587890625,2.7523628381604757e-18,-175.6029510498047
1206,1.0989616612278041e-06,1098.961669921875,329.6885070800781,-1.611459521377867e-09,-4.5920125479881335e-09,4.866557379301639e-09,-1.9082963466644287,-109.33731842041016,2.3683380349281384e-17,-166.2555694580078
1207,5.213054805608408e-07,521.3054809570312,156.3916473388672,-5.415858872481749e-09,1.4658555480551172e-09,5.610726994120796e-09,2.8772659301757812,164.8551788330078,3.148025741739189e-17,-165.01962280273438
1208,1.053978508025466e-06,1053.978515625,316.19354248046875,-5.964259486290757e-08,-2.0487917140599166e-07,2.133839416273986e-07,-1.8540782928466797,-106.2308578491211,4.5532706701182854e-14,-133.41676330566406
1209,1.7509842109575402e-06,1750.9842529296875,525.2952880859375,5.931517943480458e-09,8.170639720361805e-10,5.987528695072797e-09,0.1368880718946457,7.843108177185059,3.58505007476933e-17,-164.45504760742188
1210,1.0539783943386283e-06,1053.9783935546875,316.1935119628906,-2.018014377824784e-08,-6.931681895139263e-08,7.219459519092197e-08,-1.8540948629379272,-106.23180389404297,5.212059692801148e-15,-142.8299102783203
1211,4.7089375243558607e-07,470.89373779296875,141.26812744140625,-1.8998546238435665e-06,-1.4339299525545357e-07,1.9052582729273126e-06,-3.0662596225738525,-175.68373107910156,3.6300090537622065e-12,-114.40092468261719
1212,1.0149132094738889e-06,1014.9132080078125,304.4739685058594,2.5966656380660424e-08,2.0964218805374912e-08,3.3373126484548266e-08,0.6792075037956238,38.91572189331055,1.1137655281688108e-15,-149.5320587158203
1213,1.0149130957870511e-06,1014.9130859375,304.47393798828125,2.5966485850403842e-08,2.096576601218203e-08,3.337396492497646e-08,0.6792467832565308,38.917972564697266,1.113821538222448e-15,-149.53184509277344
1214,1.053978508025466e-06,1053.978515625,316.19354248046875,-2.376653318592048e-09,-8.163711484598934e-09,8.502627046880207e-09,-1.8540903329849243,-106.2315444946289,7.229466571229346e-17,-161.408935546875
1215,9.72636257756676e-07,972.63623046875,291.7908630371094,-3.600594666863799e-08,-1.2723454290153313e-07,1.3223107941939816e-07,-1.846574306488037,-105.80091094970703,1.7485058878747607e-14,-137.57333374023438
1216,4.308268160002626e-07,430.8268127441406,129.248046875,-2.818878463983765e-08,2.633708007238056e-08,3.8577837813136284e-08,2.390141487121582,136.94500732421875,1.4882495938200145e-15,-148.2732391357422
1217,1.6218768905673642e-06,1621.8768310546875,486.5630798339844,-3.0480986623615536e-08,-6.144973241362095e-08,6.859417567284254e-08,-2.031263828277588,-116.3828353881836,4.705160872329811e-15,-143.27426147460938
1218,9.72636257756676e-07,972.63623046875,291.7908630371094,-4.736492087431543e-08,4.361077898806798e-08,6.438428101773752e-08,2.3974363803863525,137.36297607421875,4.145335621665762e-15,-143.82440185546875
1219,9.915836471918738e-07,991.5836181640625,297.47509765625,-4.0158354863706336e-08,-1.6017482096231106e-07,1.6513227762970928e-07,-1.8164485692977905,-104.0748291015625,2.7268668890295146e-14,-135.6433563232422
1220,1.7116266235461808e-06,1711.6265869140625,513.4879760742188,-9.392573474542587e-08,-3.622728561580857e-09,9.399556688549637e-08,-3.103041648864746,-177.7911834716797,8.835166891716165e-15,-140.53785705566406
1221,9.91583533505036e-07,991.5835571289062,297.4750671386719,-4.015306842575228e-08,-1.6017636994547502e-07,1.6513249079253e-07,-1.8164151906967163,-104.07292175292969,2.7268740041062715e-14,-135.64334106445312
1222,9.739192137203645e-07,973.919189453125,292.1757507324219,-5.084302756586112e-09,-2.357123030094499e-08,2.411333710483632e-08,-1.7832409143447876,-102.17217254638672,5.814530193623253e-16,-152.3548583984375
1223,1.055244524650334e-06,1055.2445068359375,316.5733642578125,-6.117140127770426e-10,4.2941369904347937e-10,7.473888730125111e-10,2.529536247253418,144.93174743652344,5.585901045733843e-19,-182.52906799316406
1224,1.0350652246415848e-06,1035.065185546875,310.5195617675781,-8.667835516007472e-08,-2.7042332817472925e-07,2.839751971350779e-07,-1.8809784650802612,-107.77212524414062,8.06419140448808e-14,-130.93438720703125
1225,5.207131152928923e-07,520.713134765625,156.21392822265625,3.0211314339112505e-08,-3.072215903898723e-08,4.308798651209145e-08,-0.793781578540802,-45.48033142089844,1.8565746711534954e-15,-147.31288146972656
1226,1.7622589894017437e-06,1762.259033203125,528.6776733398438,-4.92131979612509e-09,-5.283987691839798e-10,4.94960517016807e-09,-3.034633159637451,-173.8716583251953,2.449859165837077e-17,-166.10858154296875
1227,2.288574250997044e-06,2288.57421875,686.572265625,-4.880055470835032e-08,-4.829985744692067e-09,4.9038995086903014e-08,-3.0429399013519287,-174.3476104736328,2.4048230990109457e-15,-146.1891632080078
1228,1.1168381206516642e-06,1116.838134765625,335.0514221191406,9.901727215932965e-10,3.3643927643822735e-09,3.5070759629718395e-09,1.2845683097839355,73.600341796875,1.2299581792983708e-17,-169.10110473632812
1229,1.687057533672487e-06,1687.0574951171875,506.11724853515625,5.752952558779612e-10,1.2053996689687096e-09,1.335646926392542e-09,1.1255013942718506,64.4864730834961,1.7839527165425943e-18,-177.48617553710938
